iter	RMSE
0	1.150259346
1	1.144546783
2	1.138733244
3	1.133208154
4	1.127562927
5	1.122268983
6	1.116845262
7	1.11148206
8	1.106219093
9	1.100941573
10	1.095760841
11	1.090627509
12	1.085597581
13	1.080685576
14	1.075753974
15	1.071016738
16	1.066162075
17	1.061376004
18	1.056770354
19	1.05216303
20	1.047931601
21	1.043425329
22	1.039044836
23	1.034667301
24	1.030214537
25	1.026120613
26	1.021902113
27	1.017709677
28	1.01376166
29	1.009727848
30	1.005575137
31	1.001577384
32	0.9976085047
33	0.9937086747
34	0.9901638251
35	0.9866141267
36	0.9829027444
37	0.9790998217
38	0.975497793
39	0.971865195
40	0.9681965526
41	0.9647415624
42	0.9611854003
43	0.9577090213
44	0.9541793263
45	0.9507657802
46	0.9475551517
47	0.9442289322
48	0.9409914823
49	0.9377857111
50	0.9346565811
51	0.9315542304
52	0.9284811398
53	0.9254130487
54	0.9224481405
55	0.9196728057
56	0.916742367
57	0.9141016008
58	0.911380996
59	0.9085839404
60	0.9057698324
61	0.90293976
62	0.9003352137
63	0.8975169099
64	0.8948135639
65	0.8920302197
66	0.8892765725
67	0.8867048573
68	0.8840343419
69	0.8815530606
70	0.8789060339
71	0.8764505972
72	0.8738661576
73	0.8715057717
74	0.8691135355
75	0.866624176
76	0.8641758325
77	0.8617044767
78	0.8593296136
79	0.8571384594
80	0.854819986
81	0.8525329194
82	0.850229344
83	0.8480077899
84	0.8459463035
85	0.8437680983
86	0.8418226731
87	0.8398091774
88	0.8376490806
89	0.8356813447
90	0.8336389448
91	0.8315630808
92	0.8295939835
93	0.8275721969
94	0.8256099002
95	0.8236598811
96	0.8218914362
97	0.8199756693
98	0.818127085
99	0.8163789933
100	0.8144405383
101	0.8125831112
102	0.8108253356
103	0.8090869374
104	0.807327921
105	0.8056304675
106	0.8039740445
107	0.8024951588
108	0.8008887593
109	0.7993479245
110	0.7976241326
111	0.7960337613
112	0.7943617645
113	0.792782138
114	0.7913420531
115	0.7898482982
116	0.7881712829
117	0.7865341586
118	0.7850957736
119	0.7834727398
120	0.7821245734
121	0.7807893426
122	0.7793388318
123	0.7778662107
124	0.7759747396
125	0.7746213676
126	0.7732903807
127	0.7718174087
128	0.770327463
129	0.7690990887
130	0.7678152748
131	0.7665840836
132	0.7651899171
133	0.7640138382
134	0.762730995
135	0.7615459991
136	0.7603737389
137	0.7590468115
138	0.7579008142
139	0.7567081351
140	0.7549739325
141	0.7537120939
142	0.7524700871
143	0.751402472
144	0.7502181601
145	0.7490300059
146	0.7479063991
147	0.7468186488
148	0.7455823007
149	0.7445486586
150	0.7433074956
151	0.7418252451
152	0.7407404473
153	0.7397327045
154	0.7386055094
155	0.7374340465
156	0.7359352741
157	0.7349132783
158	0.7338874355
159	0.7329775865
160	0.7318423587
161	0.7309436072
162	0.7300735436
163	0.7290839241
164	0.727695477
165	0.7268053599
166	0.7258809821
167	0.7245273029
168	0.723155996
169	0.7222621377
170	0.7208958184
171	0.7200594092
172	0.719159542
173	0.7183544168
174	0.7174309984
175	0.716268093
176	0.7154593387
177	0.714672794
178	0.7136007605
179	0.7127033615
180	0.7119300364
181	0.7106420911
182	0.7097322841
183	0.7085830521
184	0.7077832646
185	0.7067476296
186	0.7058188748
187	0.7050405169
188	0.7043170338
189	0.7035023941
190	0.7027890443
191	0.7019324531
192	0.7011131026
193	0.7003854031
194	0.699745416
195	0.6990653012
196	0.6979065746
197	0.6971976002
198	0.6960852584
199	0.6952540911
