iter	Passed	Remaining
0	0	286
1	10	1498
2	10	1057
3	13	990
4	14	848
5	15	742
6	15	644
7	16	587
8	16	539
9	17	500
10	17	466
11	18	438
12	18	416
13	19	397
14	20	381
15	20	366
16	21	354
17	21	342
18	22	330
19	22	319
20	23	310
21	23	301
22	24	293
23	24	286
24	25	280
25	26	275
26	26	270
27	27	267
28	28	261
29	28	255
30	28	250
31	29	246
32	29	241
33	30	237
34	30	233
35	31	232
36	32	229
37	32	226
38	33	223
39	33	219
40	34	217
41	34	214
42	35	211
43	35	208
44	36	206
45	36	203
46	37	202
47	38	200
48	38	198
49	39	196
50	39	194
51	40	192
52	40	189
53	41	187
54	41	185
55	42	184
56	42	182
57	43	181
58	43	179
59	44	178
60	45	176
61	45	175
62	46	173
63	46	171
64	47	170
65	47	168
66	48	167
67	48	165
68	49	164
69	49	163
70	50	162
71	50	161
72	51	159
73	51	158
74	52	157
75	52	156
76	53	154
77	53	153
78	54	152
79	55	151
80	55	150
81	56	149
82	56	148
83	57	147
84	57	146
85	58	145
86	58	143
87	59	142
88	59	141
89	60	140
90	60	139
91	61	139
92	62	138
93	62	137
94	63	136
95	63	135
96	64	134
97	64	133
98	65	132
99	65	131
100	66	130
101	67	130
102	67	129
103	68	128
104	68	127
105	69	127
106	69	126
107	70	125
108	70	124
109	71	123
110	71	122
111	72	121
112	73	120
113	73	120
114	74	119
115	74	118
116	75	117
117	75	116
118	76	116
119	76	115
120	77	114
121	77	113
122	78	113
123	79	112
124	79	111
125	80	110
126	80	109
127	81	109
128	81	108
129	82	107
130	82	106
131	83	106
132	83	105
133	84	104
134	85	103
135	85	103
136	86	102
137	86	101
138	87	100
139	87	100
140	88	99
141	88	98
142	89	97
143	89	96
144	90	96
145	90	95
146	91	94
147	91	94
148	92	93
149	92	92
150	93	92
151	93	91
152	94	90
153	94	89
154	95	89
155	95	88
156	96	87
157	97	87
158	97	86
159	98	85
160	98	85
161	99	84
162	99	83
163	100	83
164	100	82
165	101	81
166	101	81
167	102	80
168	102	79
169	103	79
170	104	78
171	104	77
172	105	77
173	105	76
174	106	75
175	106	75
176	107	74
177	107	73
178	108	73
179	108	72
180	109	71
181	110	71
182	110	70
183	111	70
184	111	69
185	112	68
186	112	68
187	113	67
188	113	66
189	114	66
190	114	65
191	115	64
192	116	64
193	116	63
194	117	63
195	117	62
196	118	61
197	118	61
198	119	60
199	119	59
200	120	59
201	120	58
202	121	58
203	121	57
204	122	56
205	122	56
206	123	55
207	123	54
208	124	54
209	124	53
210	125	52
211	125	52
212	126	51
213	127	51
214	127	50
215	128	49
216	128	49
217	129	48
218	129	47
219	130	47
220	130	46
221	131	46
222	131	45
223	132	44
224	132	44
225	133	43
226	134	43
227	134	42
228	135	41
229	135	41
230	135	40
231	136	40
232	136	39
233	137	38
234	138	38
235	138	37
236	139	37
237	139	36
238	140	35
239	140	35
240	141	34
241	141	33
242	142	33
243	142	32
244	143	32
245	144	31
246	144	31
247	145	30
248	145	29
249	146	29
250	146	28
251	147	28
252	147	27
253	148	26
254	148	26
255	149	25
256	149	25
257	150	24
258	151	23
259	151	23
260	152	22
261	152	22
262	153	21
263	153	20
264	154	20
265	154	19
266	155	19
267	155	18
268	156	18
269	156	17
270	157	16
271	158	16
272	158	15
273	159	15
274	159	14
275	160	13
276	160	13
277	160	12
278	161	12
279	162	11
280	162	11
281	163	10
282	163	9
283	164	9
284	164	8
285	165	8
286	165	7
287	166	6
288	166	6
289	167	5
290	168	5
291	168	4
292	169	4
293	169	3
294	170	2
295	170	2
296	171	1
297	171	1
298	172	0
299	172	0
